file initialized in LandmarkDetection
landmarkInCameraLandmark: x: -3.45839, y: -0.552209, z: 0.224012, roll: -0.0110457, pitch: -0.0163046, yaw: 0.00337334
landmarkInCameraLandmark: x: -3.45066, y: -0.552908, z: 0.225001, roll: -0.00951169, pitch: -0.0163793, yaw: 0.00277736
landmarkInCameraLandmark: x: -3.45331, y: -0.555329, z: 0.22636, roll: -0.0106225, pitch: -0.0167678, yaw: 0.00245492
landmarkInCameraLandmark: x: -3.45601, y: -0.556609, z: 0.227157, roll: -0.0109274, pitch: -0.0168105, yaw: 0.00203956
landmarkInCameraLandmark: x: -3.45364, y: -0.551291, z: 0.228554, roll: -0.00928639, pitch: -0.0169901, yaw: 0.00336664
landmarkInCameraLandmark: x: -3.45579, y: -0.550504, z: 0.228025, roll: -0.0103758, pitch: -0.0167868, yaw: 0.00378289
landmarkInCameraLandmark: x: -3.45221, y: -0.552491, z: 0.23097, roll: -0.00903814, pitch: -0.0171321, yaw: 0.00305919
landmarkInCameraLandmark: x: -3.23789, y: -0.547476, z: 0.216994, roll: -0.0095849, pitch: -0.0192615, yaw: 0.00061121
landmarkInCameraLandmark: x: -3.23475, y: -0.555023, z: 0.21258, roll: -0.0101711, pitch: -0.0186783, yaw: -0.0017158
landmarkInCameraLandmark: x: -3.24336, y: -0.550041, z: 0.220205, roll: -0.01009, pitch: -0.0197589, yaw: 9.1351e-05
landmarkInCameraLandmark: x: -3.24004, y: -0.54619, z: 0.221401, roll: -0.00952777, pitch: -0.019939, yaw: 0.000978195
landmarkInCameraLandmark: x: -3.24172, y: -0.545258, z: 0.216727, roll: -0.0109431, pitch: -0.0193639, yaw: 0.00156356
landmarkInCameraLandmark: x: -3.23903, y: -0.551814, z: 0.219454, roll: -0.0102413, pitch: -0.0196888, yaw: -0.000525452
landmarkInCameraLandmark: x: -2.88898, y: -0.543681, z: 0.21644, roll: -0.0100736, pitch: -0.0172229, yaw: 0.000427644
landmarkInCameraLandmark: x: -2.88853, y: -0.544655, z: 0.212647, roll: -0.0110569, pitch: -0.016567, yaw: 0.000207072
landmarkInCameraLandmark: x: -2.88497, y: -0.546728, z: 0.211298, roll: -0.0112463, pitch: -0.0163268, yaw: -3.55989e-05
landmarkInCameraLandmark: x: -2.7572, y: -0.547103, z: 0.207194, roll: -0.0105266, pitch: -0.0157029, yaw: -0.000506847
landmarkInCameraLandmark: x: -2.5623, y: -0.542712, z: 0.205016, roll: -0.00902869, pitch: -0.0195832, yaw: 0.000709257
landmarkInCameraLandmark: x: -2.56294, y: -0.540135, z: 0.203801, roll: -0.00916377, pitch: -0.0193225, yaw: 0.00166473
landmarkInCameraLandmark: x: -2.55905, y: -0.541207, z: 0.204824, roll: -0.00919351, pitch: -0.0195448, yaw: 0.00125953
landmarkInCameraLandmark: x: -2.56254, y: -0.543643, z: 0.204907, roll: -0.0092165, pitch: -0.019513, yaw: 0.000454941
landmarkInCameraLandmark: x: -2.16413, y: -0.54445, z: 0.191591, roll: -0.00824873, pitch: -0.0393829, yaw: 0.00332018
landmarkInCameraLandmark: x: -2.16482, y: -0.540147, z: 0.192641, roll: -0.00846969, pitch: -0.0397707, yaw: 0.00545218
landmarkInCameraLandmark: x: -2.16435, y: -0.54349, z: 0.191566, roll: -0.00825589, pitch: -0.0188291, yaw: 0.00380527
landmarkInCameraLandmark: x: -2.16233, y: -0.544193, z: 0.194373, roll: -0.00867945, pitch: -0.0195483, yaw: 0.00341773
landmarkInCameraLandmark: x: -2.16403, y: -0.543729, z: 0.191876, roll: -0.00919362, pitch: -0.0190549, yaw: 0.00385072
landmarkInCameraLandmark: x: -2.02359, y: -0.542839, z: 0.187651, roll: -0.00707727, pitch: -0.0190703, yaw: 0.00459251
landmarkInCameraLandmark: x: -1.84329, y: -0.538906, z: 0.184665, roll: -0.00901499, pitch: -0.016566, yaw: 0.00332673
landmarkInCameraLandmark: x: -1.84329, y: -0.538906, z: 0.184665, roll: -0.00901499, pitch: -0.016566, yaw: 0.00332673
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
landmarkInCameraLandmark: x: -1.717, y: -0.534568, z: 0.184934, roll: -0.0102581, pitch: -0.0183591, yaw: -0.00771031
